Название тура,Регион,Сезон,Кол-во туристов,Длительность,Цена,Оценка
Пять колец Кавказа. Экскурсионный тур,Кавказ,Зима,5,15,289850.0,4
Засечная черта. Тихонова Пустынь – Калуга – Оптина пустынь – Козельск – Серпухов,Калужская область,Зима,2,9,66494.0,3
Ледниковый период на зимнем Байкале,Байкал,Зима,1,9,43210.0,4
Походы по осенним тропам Кавказа,Краснодарский край,Осень,11,11,455092.0,5
Водный мир Приладожья,Карелия,Лето,9,3,183366.0,3
Засечная черта. Тихонова Пустынь – Калуга – Оптина пустынь – Козельск – Серпухов,Калужская область,Осень,13,16,671632.0,4
Кострома и ее усадьбы: время путешествий,Костромская область,Осень,11,3,200024.0,4
Урал: познайте дикие леса и горы,Свердловская область,Осень,14,9,499352.0,4
Водный мир Приладожья,Карелия,Лето,8,17,550288.0,4
"Костромская область: говорят, что здесь живут сказки",Костромская область,Лето,1,16,56816.0,4
Камчатка: природа и активные виды отдыха,Камчатка,Осень,3,7,118536.0,5
Нижегородские усадьбы,Нижегородская область,Осень,13,10,484640.0,4
Тайны Урала: золотое кольцо Урала,Свердловская область,Лето,10,21,742390.0,2
Поход к подножию Белухи. Алтай,Алтай,Лето,5,19,378510.0,4
Байкал и Саяны. С восхождением на пик Любви,Байкал,Лето,8,11,431120.0,4
Водный мир Приладожья,Карелия,Лето,9,21,743562.0,3
Карельские узоры,Карелия,Весна,6,13,303360.0,3
В Карелию летом на 4 дня,Карелия,Лето,1,8,37664.0,3
Осенние выходные в Санкт-Петербурге,Санкт-Петербург,Осень,4,4,87616.0,3
Золотая моя Казань. Летний тур на 3 дня,Татарстан,Лето,13,17,806039.0,5
Золотая осень в Карелии,Карелия,Осень,8,11,363712.0,5
Кострома и ее усадьбы: время путешествий,Костромская область,Весна,14,21,916160.0000000001,3
Калининградская область: исторические маршруты,Калининградская область,Весна,11,17,648560.0,4
Города Золотой Руси. Летнее путешествие,Золотое кольцо,Лето,2,8,66816.0,4
Цветущий Сочи: весенние выходные на Черном море,Краснодарский край,Весна,1,20,65200.0,4
Природа и культура Вологодчины,Вологодская область,Зима,4,5,94120.0,4
Осенние выходные в Санкт-Петербурге,Санкт-Петербург,Осень,11,9,404624.0,5
Байкал и Саяны. С восхождением на пик Любви,Байкал,Лето,1,3,21970.0,4
Цветущий Сочи: весенние выходные на Черном море,Краснодарский край,Весна,9,5,214200.0,4
Сплав по реке Верхняя Шуя,Карелия,Лето,9,18,650196.0,2
Пять колец Кавказа. Экскурсионный тур,Кавказ,Весна,3,15,170400.0,4
Сердце России: Гора Белуха и Алтай,Алтай,Осень,12,7,390816.0,4
Сокровища Карелии и Соловки,Карелия,Лето,1,8,37664.0,4
Жигулёвские выходные. Национальный туристский маршрут по Самарской области,Самара,Лето,11,10,431860.0,4
Осенние выходные в Санкт-Петербурге,Санкт-Петербург,Осень,11,16,633776.0,4
Байкальское путешествие. Пеший тур-комфорт,Байкал,Лето,6,4,155760.0,4
Активная зимняя программа на Эльбрусе,Эльбрус,Зима,13,8,475384.0,4
Камчатка: Толбачинское кольцо. Поход к спящему вулкану,Камчатка,Лето,12,15,933960.0,4
Волшебный лед Ольхона,Байкал,Зима,9,7,322470.0,1
Калуга и другие города Центральной России,Калужская область,Зима,8,7,224648.0,4
Северный Кавказ: культурные традиции и активные приключения,Кавказ,Зима,1,13,51574.0,3
Золотое кольцо России: традиции и ремесла,Золотое кольцо,Весна,14,4,287840.0,4
Долина гейзеров и вулканов Камчатки,Камчатка,Осень,5,4,134320.0,1
Северная столица: Санкт-Петербург на все времена,Санкт-Петербург,Лето,9,8,319824.0,4
Зимняя сказка. Приключения на Камчатке,Камчатка,Зима,10,11,560020.0,3
Природа и культура Вологодчины,Вологодская область,Лето,7,4,151928.0,3
Северное сияние осенью: Мурманск,Мурманская область,Осень,10,12,486880.0,3
Вулканы Камчатки: активный тур без рюкзаков,Камчатка,Лето,6,14,439848.0,1
Загадочная Москва: исторический тур,Москва,Осень,10,13,438520.0,4
Другая Осетия. Джип-тур в Северную Осетию,Северная Осетия,Осень,1,17,64808.0,4
Вулканы Камчатки,Камчатка,Лето,1,18,91396.0,5
На Байкал на каникулы. Индивидуальный семейный тур,Байкал,Весна,2,21,171200.0,5
Сибирские каникулы,Сибирь,Зима,8,8,300416.0,4
Домашний очаг Ольхона. Индивидуальный семейный тур,Байкал,Весна,7,12,372400.0,2
Саяны: осенние краски,Республика Тыва,Осень,5,21,414559.99999999994,5
Восхождение на Белуху за 10 дней,Алтай,Лето,6,20,474960.0,4
Активный треккинг на Байкале,Байкал,Лето,14,18,1145480.0,3
Урал: познайте дикие леса и горы,Свердловская область,Осень,10,6,271119.99999999994,5
Город-герой: исторические маршруты в Новороссийске ,Краснодарский край,Лето,9,16,530496.0,3
Я шагаю по Москве. Сокращённая программа,Москва,Осень,14,16,723296.0,5
Поход к подножию Белухи. Алтай,Алтай,Лето,11,20,870760.0,4
Вулканы Камчатки,Камчатка,Лето,1,20,100440.0,4
Тайны Забайкалья: природа и история,Забайкальский край,Осень,8,12,413312.0,4
Нижегородские загадки.,Нижегородская область,Зима,8,13,361424.00000000006,4
Тайга и озера: путешествие по Тверской области,Тверская область,Лето,6,18,376008.0,4
Вулканы Камчатки,Камчатка,Лето,14,12,899696.0,2
Водный мир Приладожья,Карелия,Лето,8,4,190656.0,5
Джигитовка для начинающих. Зимний тур на Кавказе,Кавказ,Зима,4,13,206296.0,4
Пробуждение природы в Санкт-Петербурге,Санкт-Петербург,Весна,8,3,149120.0,3
Северный Кавказ: культурные традиции и активные приключения,Кавказ,Зима,7,10,293860.0,3
Северный Кавказ: культурные традиции и активные приключения,Кавказ,Зима,12,18,810768.0,5
Знакомство с Сахалином,Сахалин,Лето,4,3,91072.0,4
Зеленая весна в Краснодаре,Краснодарский край,Весна,8,7,234559.99999999997,3
Ольхон — сердце Байкала,Байкал,Лето,12,10,598800.0,3
Камчатка: осенние пейзажи и активный отдых,Камчатка,Осень,3,21,295608.0,4
Активный треккинг на Байкале,Байкал,Лето,6,13,371220.0,1
Весенние круизы по Волге ,Приволжский федеральный округ,Весна,6,10,218400.0,5
Северный Кавказ: культурные традиции и активные приключения,Кавказ,Весна,7,19,484960.0,3
Домашний очаг Ольхона. Индивидуальный семейный тур,Байкал,Весна,11,21,941600.0,4
Сибирские просторы: экскурсия по Красноярскому краю,Красноярский край,Осень,1,7,34304.0,5
Походы по осенним тропам Кавказа,Краснодарский край,Осень,6,3,111336.0,5
Золотая моя Казань. Летний тур на 3 дня,Татарстан,Лето,6,3,115062.0,3
Лед Байкала и величие Саян,Байкал,Зима,10,20,838000.0,4
Кавказ! Жили-были,Кавказ,Весна,14,20,1013600.0,4
Город-герой: исторические маршруты в Новороссийске ,Краснодарский край,Весна,12,4,252480.0,3
Осенние выходные в Санкт-Петербурге,Санкт-Петербург,Осень,4,18,254272.0,5
Долина гейзеров и вулканов Камчатки,Камчатка,Осень,6,13,388848.0,5
Камчатка: осенние пейзажи и активный отдых,Камчатка,Осень,8,13,518464.0,3
Настоящая осень в Нижнем Новгороде,Нижегородская область,Осень,4,6,105472.0,2
Кавказ! Жили-были,Кавказ,Весна,14,4,314720.0,5
Кавказ! Жили-были,Кавказ,Зима,7,4,159544.0,3
Калмыкия на 100%,Калмыкия,Весна,5,20,362000.0,3
Камчатка: Толбачинское кольцо. Поход к спящему вулкану,Камчатка,Лето,4,5,130440.0,5
Зимние кочевники Байкала,Байкал,Зима,11,7,394130.0,4
Золотая осень в Карелии,Карелия,Осень,10,21,777040.0,1
Засечная черта. Тихонова Пустынь – Калуга – Оптина пустынь – Козельск – Серпухов,Калужская область,Лето,11,15,570845.0,4
Волшебный лед Ольхона,Байкал,Зима,9,17,654570.0,4
Петрозаводск: весеннее пробуждение северной столицы,Карелия,Весна,1,4,22480.0,3
Пять колец Кавказа. Экскурсионный тур,Кавказ,Осень,5,8,178960.0,5
Тайга и народные традиции Сибири,Алтай,Осень,7,19,498792.0,1
Золотая осень в Карелии,Карелия,Осень,8,20,595840.0,3
От бурного Терека до седого Каспия,Кавказ,Зима,2,19,141524.0,5
Байкал и Саяны. С восхождением на пик Любви,Байкал,Лето,13,19,1115530.0,5
Активный треккинг на Байкале,Байкал,Лето,5,13,309350.0,5
Кавказ стал ближе,Кавказ,Весна,12,18,793920.0,5
Активная зимняя программа на Эльбрусе,Эльбрус,Зима,6,19,438594.0,3
Кочевники Байкала,Байкал,Лето,9,9,413190.0,3
Я шагаю по Москве. Сокращённая программа,Москва,Осень,7,21,452788.0,4
Джигитовка для начинающих. Зимний тур на Кавказе,Кавказ,Зима,12,17,772392.0,3
Я шагаю по Москве. Сокращённая программа,Москва,Осень,13,16,671632.0,5
Осенние выходные в Санкт-Петербурге,Санкт-Петербург,Осень,13,9,478192.0,4
Байкальское путешествие. Пеший тур-комфорт,Байкал,Лето,8,4,207680.0,4
Большое путешествие по Смоленской земле,Смоленская область,Осень,10,3,181840.0,1
Загадочная Москва: исторический тур,Москва,Лето,5,7,147755.0,4
Кавказ! Жили-были,Кавказ,Зима,2,5,51980.0,5
Долина гейзеров и вулканов Камчатки,Камчатка,Осень,4,7,158048.0,5
Зимняя сказка. Приключения на Камчатке,Камчатка,Зима,10,16,769120.0,5
Кемпинг на озере Лама. Знакомство с плато Путорана,Плато Путорана,Лето,12,5,375360.0,4
Камчатка: осенние пейзажи и активный отдых,Камчатка,Осень,14,21,1379504.0,3
Другая Осетия. Джип-тур в Северную Осетию,Северная Осетия,Лето,13,16,849264.0,4
Калининградская осень: природа и история,Калининградская область,Осень,4,11,170944.0,3
Знакомство с Сахалином,Сахалин,Лето,2,9,96608.0,5
Северный Кавказ: культурные традиции и активные приключения,Кавказ,Лето,3,7,102618.0,4
Настоящая осень в Нижнем Новгороде,Нижегородская область,Осень,8,9,276416.0,3
Кострома и ее усадьбы: время путешествий,Костромская область,Осень,2,9,69104.0,4
Живописный каскад Поволжья,Нижегородская область,Осень,6,7,174576.00000000003,4
Активная зимняя программа. На снежной волне Архыза,Архыз,Зима,10,9,365680.0,4
Пять колец Кавказа. Экскурсионный тур,Кавказ,Весна,11,8,384560.0,5
Поход к подножию Белухи. Алтай,Алтай,Лето,10,9,411220.0,3
Центр России: экскурсии по Туле,Тульская область,Лето,13,10,510380.0,4
Большое путешествие по Смоленской земле,Смоленская область,Лето,2,5,49260.0,4
Сокровища Карелии и Соловки,Карелия,Лето,6,20,474960.0,3
Поход к подножию Белухи. Алтай,Алтай,Лето,3,6,92244.0,4
Невская улица: гастрономический тур по Санкт-Петербургу,Санкт-Петербург,Весна,11,12,490160.0,5
Нижегородские загадки.,Нижегородская область,Лето,10,11,421860.00000000006,4
Горнолыжка для начинающих. Активный тур на Домбай,Домбай,Зима,5,12,241880.0,4
Исторические городки Поволжья,Татарстан,Зима,7,8,228424.0,2
Кавказские горы: экотуризм и медицинские маршруты,Краснодарский край,Осень,10,19,641880.0,4
Петрозаводск: весеннее пробуждение северной столицы,Карелия,Весна,13,20,941200.0,4
Водный мир Приладожья,Карелия,Лето,11,21,908798.0,4
Центр России: экскурсии по Туле,Тульская область,Весна,1,14,46960.0,3
Саяны: осенние краски,Республика Тыва,Осень,12,21,994943.9999999998,5
Кочевники Байкала,Байкал,Лето,5,6,169700.0,5
Цветущий Сочи: весенние выходные на Черном море,Краснодарский край,Весна,3,6,79679.99999999999,5
Петрозаводск: весеннее пробуждение северной столицы,Карелия,Весна,2,5,51200.0,3
Большое путешествие по Смоленской земле,Смоленская область,Лето,13,19,852722.0,5
Знакомство с Сахалином,Сахалин,Лето,14,9,676256.0,5
Саяны: осенние краски,Республика Тыва,Осень,13,17,897312.0,4
Зимние узоры Байкала,Байкал,Зима,1,14,61660.0,4
Центр России: экскурсии по Туле,Тульская область,Весна,11,4,226160.0,5
Вкусы Енисейской Сибири. Гастрономический тур,Сибирь,Лето,14,17,1026312.0,2
На Байкал на каникулы. Индивидуальный семейный тур,Байкал,Весна,3,17,213600.0,2
Северное сияние осенью: Мурманск,Мурманская область,Осень,10,3,196720.0,5
В Карелию летом на 4 дня,Карелия,Лето,4,14,233648.0,4
Загадочная Москва: исторический тур,Москва,Осень,12,19,713712.0,5
Сплав по реке к Байкалу,Байкал,Лето,1,11,53890.0,5
Калининградская осень: природа и история,Калининградская область,Осень,3,14,154992.0,4
Все краски Байкала. Поход на байдарках вокруг полуострова Святой Нос,Байкал,Лето,7,5,209650.0,2
Восхождение на Белуху за 10 дней,Алтай,Лето,10,10,445800.0,4
Калининградская область: исторические маршруты,Калининградская область,Весна,3,16,168240.0,3
Невская улица: гастрономический тур по Санкт-Петербургу,Санкт-Петербург,Осень,3,13,146064.0,3
Осенние выходные в Санкт-Петербурге,Санкт-Петербург,Осень,1,10,39760.0,4
Ледовый экспресс Байкала,Байкал,Зима,8,21,699920.0,4
Сердце Хамар-Дабана. Пеший поход,Байкал,Лето,14,13,866180.0,5
Волшебный лед Ольхона,Байкал,Зима,1,12,54280.0,4
Сплав по реке к Байкалу,Байкал,Лето,7,16,516880.0,3
Калининградская осень: природа и история,Калининградская область,Осень,2,5,49760.0,5
Города Золотой Руси. Летнее путешествие,Золотое кольцо,Лето,14,6,385784.00000000006,3
Настоящая осень в Нижнем Новгороде,Нижегородская область,Осень,2,19,123664.0,4
Байкал и Саяны. С восхождением на пик Любви,Байкал,Лето,11,21,1031690.0,4
Тайны Забайкалья: природа и история,Забайкальский край,Весна,2,10,87200.0,4
Камчатка: природа и активные виды отдыха,Камчатка,Осень,9,8,393552.0,2
Московский калейдоскоп. Сокращенная программа,Москва,Зима,4,6,101992.0,5
Домашний очаг Ольхона. Индивидуальный семейный тур,Байкал,Весна,1,8,38800.0,5
Лед Байкала и величие Саян,Байкал,Зима,3,20,251400.0,4
Весна в Карелии: природа и культура,Карелия,Весна,13,21,981760.0,4
"4 столицы: Нижний Новгород, Чебоксары, Йошкар-Ола, Казань",Татарстан,Зима,3,10,114870.0,3
На Байкал на каникулы. Индивидуальный семейный тур,Байкал,Весна,14,5,392000.0,2
Пробуждение природы в Санкт-Петербурге,Санкт-Петербург,Весна,7,12,311920.0,4
Нижегородские усадьбы,Нижегородская область,Весна,1,12,41680.0,4
Кавказские горы: экотуризм и медицинские маршруты,Краснодарский край,Лето,2,18,130124.0,4
Живописный каскад Поволжья,Нижегородская область,Осень,5,7,145480.00000000003,2
От бурного Терека до седого Каспия,Кавказ,Зима,5,10,209900.0,4
Северный Кавказ: культурные традиции и активные приключения,Кавказ,Весна,12,16,719040.0,4
Карельские узоры,Карелия,Зима,14,13,722036.0,3
Байкал: активный тур на круглый год,Байкал,Весна,12,5,336000.0,4
Вулканы Камчатки: активный тур без рюкзаков,Камчатка,Лето,10,8,461760.0,4
Байкал и Саяны. С восхождением на пик Любви,Байкал,Лето,10,8,419200.0,4
Активная зимняя программа. На снежной волне Архыза,Архыз,Зима,9,5,222840.0,5
Настоящая осень в Нижнем Новгороде,Нижегородская область,Осень,9,16,482832.0,4
Камчатка: природа и активные виды отдыха,Камчатка,Весна,4,6,137920.0,4
Активный треккинг на Байкале,Байкал,Лето,8,19,686480.0,3
Калмыкия на 100%,Калмыкия,Весна,10,16,599200.0,4
Вулканы Камчатки,Камчатка,Лето,14,6,519848.0,4
Саяны: осенние краски,Республика Тыва,Осень,10,8,377760.0,4
От бурного Терека до седого Каспия,Кавказ,Зима,3,19,212286.0,5
Тайны Урала: золотое кольцо Урала,Свердловская область,Весна,3,13,137639.99999999997,3
Северный Кавказ: культурные традиции и активные приключения,Кавказ,Зима,14,19,990668.0,4
Саяны: осенние краски,Республика Тыва,Осень,5,13,275680.0,2
Дальневосточные приключения: экскурсии по Сахалину,Сахалин,Весна,4,17,301120.0,4
Засечная черта. Тихонова Пустынь – Калуга – Оптина пустынь – Козельск – Серпухов,Калужская область,Весна,10,9,326800.0,5
Зимние узоры Байкала,Байкал,Зима,11,16,759440.0,5
Нижегородские усадьбы,Нижегородская область,Осень,8,7,232768.00000000003,4
Вулканы Камчатки: активный тур без рюкзаков,Камчатка,Лето,1,19,95918.0,4
Байкальское путешествие. Пеший тур-комфорт,Байкал,Лето,12,15,838200.0,4
Сибирские просторы: экскурсия по Красноярскому краю,Красноярский край,Осень,2,6,61664.0,4
Нижегородские загадки.,Нижегородская область,Лето,7,3,131446.0,3
Вулканы Камчатки: активный тур без рюкзаков,Камчатка,Лето,12,7,499848.0,5
Ледниковый период на зимнем Байкале,Байкал,Зима,4,13,231880.0,4
Кочевники Байкала,Байкал,Лето,11,20,987800.0,5
Центр России: экскурсии по Туле,Тульская область,Осень,5,4,104560.0,5
Байкал и Саяны. С восхождением на пик Любви,Байкал,Лето,7,12,405160.0,5
Город-герой: исторические маршруты в Новороссийске ,Краснодарский край,Зима,10,4,213160.0,3
Жигулёвские выходные. Национальный туристский маршрут по Самарской области,Самара,Лето,11,17,657162.0,4
Дальневосточные приключения: экскурсии по Сахалину,Сахалин,Лето,7,17,576464.0,5
"Костромская область: говорят, что здесь живут сказки",Костромская область,Лето,13,6,358228.00000000006,4
Золотая осень в Карелии,Карелия,Осень,3,3,59016.0,3
Сердце Хамар-Дабана. Пеший поход,Байкал,Лето,4,8,167680.0,5
Зимние кочевники Байкала,Байкал,Зима,13,10,609700.0,4
Байкал и Саяны. С восхождением на пик Любви,Байкал,Лето,8,7,303440.0,5
Сказочная осень в Татарстане,Татарстан,Осень,12,14,599135.9999999999,4
Осетия! Я буду там. Экскурсионный тур,Северная Осетия,Лето,3,13,164862.0,4
Активный треккинг на Байкале,Байкал,Лето,11,14,724460.0,4
Весна в Карелии: природа и культура,Карелия,Весна,5,9,190400.0,4
Пробуждение природы в Санкт-Петербурге,Санкт-Петербург,Весна,3,16,168240.0,5
Калуга и другие города Центральной России,Калужская область,Осень,1,20,62080.0,4
Осенние выходные в Санкт-Петербурге,Санкт-Петербург,Осень,8,12,365696.0,3
Сердце России: Гора Белуха и Алтай,Алтай,Осень,1,7,32568.0,3
Большое путешествие по Смоленской земле,Смоленская область,Осень,6,7,174576.00000000003,4
Кавказские горы: экотуризм и медицинские маршруты,Краснодарский край,Зима,5,18,304610.0,3
Сплав по реке к Байкалу,Байкал,Лето,2,6,67880.0,1
Джигитовка для начинающих. Зимний тур на Кавказе,Кавказ,Зима,12,15,695640.0,5
Зимние узоры Байкала,Байкал,Зима,13,8,513760.0,5
Тайны Забайкалья: природа и история,Забайкальский край,Лето,1,8,39792.0,4
Сплав по реке к Байкалу,Байкал,Лето,7,14,461020.0,4
Камчатка: природа и активные виды отдыха,Камчатка,Зима,10,9,476380.0,3
Города Золотой Руси. Летнее путешествие,Золотое кольцо,Лето,8,11,337488.00000000006,3
Северная столица: Санкт-Петербург на все времена,Санкт-Петербург,Зима,4,10,158080.0,4
Сибирские просторы: экскурсия по Красноярскому краю,Красноярский край,Зима,9,4,213984.0,1
Байкальское путешествие. Пеший тур-комфорт,Байкал,Лето,4,6,135760.0,5
Большое путешествие по Смоленской земле,Смоленская область,Лето,10,6,275560.00000000006,4
Нижегородские усадьбы,Нижегородская область,Весна,14,13,620480.0,5
Байкал и Саяны. С восхождением на пик Любви,Байкал,Лето,2,11,107780.0,4
Байкал и Саяны. С восхождением на пик Любви,Байкал,Лето,1,20,89800.0,4
Ольхон — сердце Байкала,Байкал,Лето,13,15,908050.0,5
Пробуждение природы в Санкт-Петербурге,Санкт-Петербург,Весна,8,4,172160.0,3
Зимняя сказка. Приключения на Камчатке,Камчатка,Зима,10,7,392740.0,4
Северное сияние осенью: Мурманск,Мурманская область,Осень,1,9,39016.0,1
Урал: познайте дикие леса и горы,Свердловская область,Осень,7,11,289604.0,5
Калуга и другие города Центральной России,Калужская область,Весна,13,6,326560.0,5
Зеленая весна в Краснодаре,Краснодарский край,Весна,4,5,95200.0,3
Путешествие в древность. Тур в Ульяновскую область,Ульяновская область,Осень,2,19,123664.0,4
Северное сияние осенью: Мурманск,Мурманская область,Осень,10,17,648080.0,3
Ольхон — сердце Байкала,Байкал,Лето,5,8,209600.0,4
Тайны Урала: золотое кольцо Урала,Свердловская область,Весна,7,6,185919.99999999997,3
Сплав по реке Верхняя Шуя,Карелия,Лето,12,9,493464.0,4
Горнолыжка для начинающих. Активный тур на Домбай,Домбай,Зима,7,3,137158.0,4
На Байкал на каникулы. Индивидуальный семейный тур,Байкал,Весна,1,19,78400.0,4
Зимние кочевники Байкала,Байкал,Зима,9,3,189630.0,4
Золотая моя Казань. Летний тур на 3 дня,Татарстан,Лето,3,5,75885.0,3
Осетия! Я буду там. Экскурсионный тур,Северная Осетия,Зима,2,12,96752.0,4
Золотая осень в Карелии,Карелия,Осень,13,11,591032.0,2
Дагестан стал ближе,Дагестан,Осень,6,3,115800.0,3
Я шагаю по Москве. Сокращённая программа,Москва,Весна,12,11,452640.0,5
Вулканы Камчатки,Камчатка,Лето,10,20,1004400.0,4
Кавказ! Жили-были,Кавказ,Лето,11,9,452342.0,2
Цветущий Сочи: весенние выходные на Черном море,Краснодарский край,Весна,13,9,452920.0,4
Ледниковый период на зимнем Байкале,Байкал,Зима,6,12,325680.0,1
Сказочная осень в Татарстане,Татарстан,Осень,9,6,244007.99999999997,2
Сплав по реке Верхняя Шуя,Карелия,Лето,3,9,123366.0,1
Осенние выходные в Санкт-Петербурге,Санкт-Петербург,Осень,11,8,371888.0,5
Весенние круизы по Волге ,Приволжский федеральный округ,Весна,3,21,196320.00000000003,2
Московский калейдоскоп. Сокращенная программа,Москва,Зима,11,21,706673.0,3
Ледниковый период на зимнем Байкале,Байкал,Зима,13,18,993460.0,4
Настоящая осень в Нижнем Новгороде,Нижегородская область,Осень,9,11,360072.0,4
Петрозаводск: весеннее пробуждение северной столицы,Карелия,Весна,1,6,28720.0,5
Карельские узоры,Карелия,Лето,6,18,433464.0,1
Северное сияние осенью: Мурманск,Мурманская область,Осень,11,3,216392.0,4
Саяны: осенние краски,Республика Тыва,Осень,11,21,912031.9999999999,3
Настоящая осень в Нижнем Новгороде,Нижегородская область,Осень,14,3,254576.0,5
"4 столицы: Нижний Новгород, Чебоксары, Йошкар-Ола, Казань",Татарстан,Осень,7,12,309567.99999999994,4
Походы по осенним тропам Кавказа,Краснодарский край,Осень,11,17,643324.0,4
Зимняя сказка. Приключения на Камчатке,Камчатка,Зима,9,13,579294.0,2
Города Золотой Руси. Летнее путешествие,Золотое кольцо,Лето,8,14,407712.00000000006,4
Восхождение на Белуху за 10 дней,Алтай,Лето,1,11,48038.0,5
Весенние круизы по Волге ,Приволжский федеральный округ,Весна,12,14,563520.0,3
Природа и культура Вологодчины,Вологодская область,Лето,9,6,248004.00000000003,5
Город-герой: исторические маршруты в Новороссийске ,Краснодарский край,Осень,8,12,353791.99999999994,4
Загадочная Москва: исторический тур,Москва,Лето,6,3,110274.0,5
Активная зимняя программа на Эльбрусе,Эльбрус,Зима,6,16,378816.0,4
Зима в Карелии 3 дня,Карелия,Зима,5,21,385790.0,4
Осетия! Я буду там. Экскурсионный тур,Северная Осетия,Весна,2,20,144800.0,3
Байкал: активный тур на круглый год,Байкал,Весна,1,20,82000.0,4
Сибирские просторы: экскурсия по Красноярскому краю,Красноярский край,Зима,10,16,651040.0,5
Осетия! Я буду там. Экскурсионный тур,Северная Осетия,Осень,6,4,137376.0,5
Весенние круизы по Волге ,Приволжский федеральный округ,Весна,5,14,234800.0,4
Северная столица: Санкт-Петербург на все времена,Санкт-Петербург,Зима,11,5,272360.0,4
Восхождение на Белуху за 10 дней,Алтай,Лето,1,4,23832.0,4
Сибирские каникулы,Сибирь,Зима,5,14,291080.0,4
Кочевники Байкала,Байкал,Лето,11,15,768350.0,4
Путешествие в древность. Тур в Ульяновскую область,Ульяновская область,Осень,10,20,645600.0,5
Большое путешествие по Смоленской земле,Смоленская область,Лето,3,17,179226.0,4
Кострома и ее усадьбы: время путешествий,Костромская область,Лето,10,21,714460.0000000001,5
Урал: познайте дикие леса и горы,Свердловская область,Осень,2,4,42816.0,4
Пять колец Кавказа. Экскурсионный тур,Кавказ,Лето,3,14,175236.0,4
Водный мир Приладожья,Карелия,Лето,12,21,991416.0,4
Поход к подножию Белухи. Алтай,Алтай,Лето,13,12,669448.0,3
От бурного Терека до седого Каспия,Кавказ,Весна,12,21,906240.0,5
Пробуждение природы в Санкт-Петербурге,Санкт-Петербург,Весна,6,3,111840.0,4
Тайны Урала: золотое кольцо Урала,Свердловская область,Лето,14,14,739564.0,5
Ледовый экспресс Байкала,Байкал,Зима,7,5,199150.0,3
Вкусы Енисейской Сибири. Гастрономический тур,Сибирь,Лето,11,13,642532.0,5
Нижегородские усадьбы,Нижегородская область,Зима,7,15,354130.0,4
Знакомство с Сахалином,Сахалин,Лето,4,8,176192.0,3
Кавказ стал ближе,Кавказ,Весна,3,16,179760.0,4
Камчатка: Толбачинское кольцо. Поход к спящему вулкану,Камчатка,Лето,9,20,903960.0,5
Центр России: экскурсии по Туле,Тульская область,Зима,3,15,151770.0,5
Восхождение на Белуху за 10 дней,Алтай,Лето,7,20,554120.0,5
На Байкал на каникулы. Индивидуальный семейный тур,Байкал,Весна,5,20,410000.0,4
Засечная черта. Тихонова Пустынь – Калуга – Оптина пустынь – Козельск – Серпухов,Калужская область,Зима,10,17,539110.0,5
На Байкал на каникулы. Индивидуальный семейный тур,Байкал,Весна,2,21,171200.0,4
Ледниковый период на зимнем Байкале,Байкал,Зима,4,7,143320.0,4
Карельские узоры,Карелия,Зима,13,21,1003054.0,4
Тюльпаны и горы: весенний Алтай,Алтай,Весна,9,15,511200.0,3
Джигитовка для начинающих. Зимний тур на Кавказе,Кавказ,Зима,12,11,542136.0,4
Северное сияние осенью: Мурманск,Мурманская область,Осень,4,9,156064.0,4
Байкал: активный тур на круглый год,Байкал,Зима,1,14,61660.0,4
Нижегородские загадки.,Нижегородская область,Осень,14,6,369152.0,5
Сибирские каникулы,Сибирь,Зима,14,16,911456.0,4
Зимняя сказка. Приключения на Камчатке,Камчатка,Зима,2,5,61820.0,5
Зимняя сказка. Приключения на Камчатке,Камчатка,Зима,10,16,769120.0,4
Камчатка: осенние пейзажи и активный отдых,Камчатка,Осень,7,5,217560.0,4
Тюльпаны и горы: весенний Алтай,Алтай,Весна,5,21,377600.0,5
Сказочный Удельный парк: круглый год,Санкт-Петербург,Весна,14,13,664160.0,4
Кавказ! Жили-были,Кавказ,Осень,11,6,322784.0,5
Кострома и ее усадьбы: время путешествий,Костромская область,Зима,3,10,111180.0,3
Ледовый экспресс Байкала,Байкал,Зима,13,16,897520.0,4
Кавказ стал ближе,Кавказ,Осень,11,18,748352.0,3
Пробуждение природы в Санкт-Петербурге,Санкт-Петербург,Весна,14,14,704480.0,5
Карельские узоры,Карелия,Лето,1,12,51496.0,3
Тайны Урала: золотое кольцо Урала,Свердловская область,Зима,13,8,424216.0,3
Восхождение на Белуху за 10 дней,Алтай,Лето,3,20,237480.0,4
Восхождение на Белуху за 10 дней,Алтай,Лето,9,9,370098.0,4
Осетия! Я буду там. Экскурсионный тур,Северная Осетия,Осень,14,18,952448.0,5
Зимние узоры Байкала,Байкал,Зима,4,9,172840.0,5
Зимние кочевники Байкала,Байкал,Зима,9,18,687780.0,5
Природа и культура Вологодчины,Вологодская область,Зима,4,19,245656.0,2
Волшебный лед Ольхона,Байкал,Зима,12,20,1005600.0,4
Цветущий Сочи: весенние выходные на Черном море,Краснодарский край,Весна,7,19,437080.0,4
Цветущий Сочи: весенние выходные на Черном море,Краснодарский край,Весна,6,9,209040.0,4
Зеленая весна в Краснодаре,Краснодарский край,Весна,1,16,54160.0,3
Сказочная осень в Татарстане,Татарстан,Осень,1,10,38520.0,3
Урал: познайте дикие леса и горы,Свердловская область,Осень,11,3,204116.0,4
